Date,Building Number,Project Name,Address,Status,Url
05/31/2006,2006-006137,POOL,"5890 BROOKSTONE WALK, 50P, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06887&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006136,VINYL SIDING,"2651 MARLEIGH FARM RD, KENNESAW GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06886&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006135,SINGLE FAMILY STICK BUILT,"5591 BLACK IRON TRL, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06885&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006134,VINYL SIDING,"4521 DARTMOOR DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06884&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006133,WATER HEATER,"1037 GRANDVIEW CIR, POWDER SPRINGS GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06883&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006132,WATER HEATER,"5857 OLDE BRIDGE CT, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06882&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006131,WATER HEATER,"4200 GLENLAKE PKY, 97A, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06881&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006130,PLUMBING,"2649 BRIDGEHAMPTON RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06880&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006129,PLUMBING,"383 INDIAN HILLS TRL, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06879&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006128,ADDITION,"5254 DEERING TRL, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06878&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006127,PLUMBING,"4794 HAMPTON LAKE DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06877&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006126,WATER HEATER,"4345 CHAUCER PL, AUSTELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06876&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006125,PLUMBING,"2315 BRANDON CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06875&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006124,PLUMBING,"3670 STEVE DR, 16A, MARIETTA GA",Cancelled,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06874&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006123,PLUMBING,"1556 FOREST BLF, GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06873&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006122,PLUMBING,"2895 DELLINGER DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06872&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006121,PLUMBING,"600 LENOX WOODS CT, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06871&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006120,SINGLE FAMILY STICK BUILT,"205 GOLD LEAF TER, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06870&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006119,SINGLE FAMILY STICK BUILT,"206 GOLD LEAF TER, POWDER SPRINGS GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06869&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006118,PLUMBING,"1946 ROSS RD, MARITETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06868&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006117,PLUMBING,"5506 MILLERS CREEK DR, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06867&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006116,PLUMBING,"4457 DERWENT DR, 3A, ROSWELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06866&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006115,PLUMBING,"1018 PARSONS GREEN DR, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06865&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006114,PLUMBING,"1802 PARKAIRE XING, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06864&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006113,PLUMBING,"1077 GRAND OAKS GLN, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06863&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006112,PLUMBING,"2345 BROWNSTONE CT, MARIETTA GA",Cancelled,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06862&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006111,PLUMBING,"5048 MEADOW LN, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06861&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006110,PLUMBING,"2779 SADDLEBROOK WAY, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06860&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006109,PLUMBING,"3438 LAURELWOOD CT, ROSWELL GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06859&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006108,PLUMBING,"1909 GLENELLEN CT, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06858&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006107,REPERMIT FROM 0601778RB,"4014 BRAMBLE CT NE, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06857&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006106,PLUMBING,"1567 COOKS POND DR, POWDER SPRINGS GA",Cancelled,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06856&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006105,PLUMBING,"4048 CROSSFIELD PL, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06855&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006104,PLUMBING,"658 WINDGROVE RD, MTTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06854&agencyCode=COBBCO&IsToShowInspection=
05/31/2006,2006-006103,WATER HEATER,"5579 FALLSBROOK TRCE, 16I, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06853&agencyCode=COBBCO&IsToShowInspection=
