Date,Building Number,Project Name,Address,Status,Url
01/31/2006,2006-001050,SINGLE FAMILY STICK BUILT,"730 LONGSHADOW TRL, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00996&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001049,REPERMIT,"2260 RUSHMORE DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00995&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001048,SINGLE FAMILY STICK BUILT,"406 ROSSES PT, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00994&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001047,REPERMIT FROM 0511805,"2111 CEDAR FORKS DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00993&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001046,COLOCATE FOR CELL TOWER,"1686 SHALLOWFORD RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00992&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001045,CLOSET,"3600 CLUBLAND DR, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00991&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001044,RENOVATION,"2800 CUMBERLAND BLVD, ATLANTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00990&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001043,BANNER,"390 ERNEST BARRETT PKY, A, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00989&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001042,PLUM,"454 LANGLY OAKS DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00988&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001041,PLUM,"5347 CURRY CT, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00987&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001040,BANNER,"2980 COBB PKY, GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00986&agencyCode=COBBCO&IsToShowInspection=
