Date,Building Number,Project Name,Address,Status,Url
12/28/2006,2006-014571,BUSINESS,"2727 PACES FERRY RD, 370, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03688&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014542,RENOVATION,"5500 SOUTH COBB DR, 3, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=03683&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014560,SINGLE FAMILY STICK BUILT,"1980 BRAYTON CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00722&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014559,SINGLE FAMILY STICK BUILT,"1970 BRAYTON CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00721&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014563,SINGLE FAMILY STICK BUILT,"170 HOLLINGER WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00720&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014562,REPERMIT,"279 EAST VALLEY DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00719&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014565,SINGLE FAMILY STICK BUILT,"180 HOLLINGER WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00718&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014570,REPERMIT FROM 0608478RB,"4506 FOX CREEK DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00717&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014585,SINGLE FAMILY CLUSTER,"4553 GATEWAY CT, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00716&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014595,SINGLE FAMILY STICK BUILT,"4531 WORTHINGS DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00715&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014588,ELECTRICAL,"3060 GREENWOOD TRL, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=00695&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014586,repermit from 0603964RB,"4756 TOWNSHIP CHASE, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14970&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014602,PORCH ENCLOSER,"82 GATEWOOD DR, GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14955&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014601,HEAT,"2140 MEADOWIND LN, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14954&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014600,HEAT,"4816 WOODSPRING DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14953&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014599,HEAT,"4998 RIDGEMORE CT, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14952&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014598,WALL SIGN,"4250 ROSWELL, GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14951&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014597,STORAGE BUILDING,"6200 DUE WEST RD, KENN GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14950&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014596,PORCH,"341 CASTEEL RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14949&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014594,HEAT,"2424 BROOKVINE LN, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14948&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014593,HEAT,"3014 ASHTON PL, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14947&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014592,HEAT,"4403 WINDCHIME WAY, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14946&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014591,REPERMIT,"3101 ROBINSON RD, 19-B, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14945&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014590,REPERMIT,"3091 ROBINSON RD, 19-A, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14944&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014589,HEAT,"2514 REGENCY LAKE DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14943&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014574,WATER HEATER,"301 ARMOR CIR, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14942&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014572,WATER HEATER,"5805 MILLERS POND LN, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14941&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014584,WATER HEATER,"1944 HUNTERS BEND CT, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14940&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014583,WATER HEATER,"4255 CREEK HAVEN DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14939&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014582,WATER HEATER,"5010 NIAGARA DR, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14938&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014581,HEAT,"4500 N SLOPE CIR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14937&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014580,HEAT,"3890 NEMOURS WALK, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14936&agencyCode=COBBCO&IsToShowInspection=
12/28/2006,2006-014579,HEAT,"1884 MURDOCK RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=14935&agencyCode=COBBCO&IsToShowInspection=
